# Line    Wavelength     gamma          f value
Lya       1215.6701      6.265E8        0.416400       
Lyb       1025.7223      1.897E8        0.079120       
Lyc       972.5368       8.127E7        0.029000       
Lyd       949.7431       4.204E7        0.013940       
Lye       937.8035       2.450E7        0.007799       
Ly6       930.7483       1.236E7        0.004814       
Ly7       926.2257       8.255E6        0.003183       
Ly8       923.1504       5.785E6        0.002216       
Ly9       920.9631       4.210E6        0.001605       
Ly10      919.3514       3.160E6        0.00120        
Ly11      918.1294       2.432E6        0.000921       
Ly12      917.1806       1.911E6        7.226e-4       
Ly13      916.429        1.529E6        0.000577       
Ly14      915.824        1.243E6        0.000469       
Ly15      915.329        1.024E6        0.000386       
Ly16      914.919        8.533E5        0.000321       
Ly17      914.576        7.186E5        0.000270       
Ly18      914.286        6.109E5        0.000230       
Ly19      914.039        5.237E5        0.000197       
Ly20      913.826        4.523E5        0.000170       
Ly21      913.641        3.933E5        0.000148       
Ly22      913.480        3.443E5        0.000129       
Ly23      913.339        3.030E5        0.000114       
Ly24      913.215        2.679E5        0.000101       
Ly25      913.104        2.382E5        0.000089       
Ly26      913.006        2.127E5        0.000080       
Ly27      912.918        1.907E5        0.000071       
Ly28      912.839        1.716E5        0.000064       
Ly29      912.768        1.550E5        0.000058       
Ly30      912.703        1.405E5        0.000053       
Ly31      912.645        1.277E5        0.000048       
