# median-combination of 92 normalized COS/G130M+G160M AGN spectra
# C. Danforth Fri Jan 25 12:25:39 2013
# wavelength   normalized flux
1130.0299      0.00000
1130.0997      0.00000
1130.1695      0.00000
1130.2393      0.00000
1130.3091      0.00000
1130.3789      0.00000
1130.4487      0.00000
1130.5185      0.00000
1130.5883      0.00000
1130.6581      0.00000
1130.7279      0.00000
1130.7977      0.00000
1130.8675      0.00000
1130.9373     0.146263
1131.0071     0.653165
1131.0769     0.524301
1131.1467     0.856086
1131.2165     0.974715
1131.2863     0.930056
1131.3561     0.985735
1131.4259      1.11566
1131.4956      1.00488
1131.5654     0.934147
1131.6352     0.956616
1131.7050      1.06555
1131.7748      1.06957
1131.8446      1.08427
1131.9144      1.05442
1131.9842      1.08051
1132.0540     0.968700
1132.1238      1.01249
1132.1936      1.00471
1132.2634      1.05903
1132.3332      1.00510
1132.4030     0.932421
1132.4728      1.02823
1132.5426      1.03158
1132.6124      1.10784
1132.6822      1.02423
1132.7520     0.979464
1132.8218     0.928560
1132.8916     0.927896
1132.9614     0.879949
1133.0312     0.899087
1133.1010     0.859827
1133.1708     0.943219
1133.2406     0.918794
1133.3104     0.916542
1133.3802     0.919924
1133.4500     0.842525
1133.5198     0.892724
1133.5896     0.914696
1133.6594     0.947046
1133.7291     0.837936
1133.7989     0.771087
1133.8687     0.703509
1133.9385     0.492360
1134.0083     0.327035
1134.0781     0.321507
1134.1479     0.325873
1134.2177     0.382797
1134.2875     0.411804
1134.3573     0.524575
1134.4271     0.693656
1134.4969     0.830805
1134.5667     0.844477
1134.6365     0.705004
1134.7063     0.538569
1134.7761     0.414478
1134.8459     0.467208
1134.9157     0.514074
1134.9855     0.680576
1135.0553     0.819090
1135.1251     0.909465
1135.1949     0.971190
1135.2647     0.983526
1135.3345     0.966545
1135.4043     0.959261
1135.4741     0.959162
1135.5439     0.890592
1135.6137     0.911535
1135.6835     0.919595
1135.7533     0.929388
1135.8231     0.953465
1135.8929     0.962984
1135.9626     0.972533
1136.0324     0.967038
1136.1022     0.993768
1136.1720     0.981446
1136.2418      1.00872
1136.3116      1.01571
1136.3814      1.00116
1136.4512     0.989348
1136.5210     0.937009
1136.5908     0.959411
1136.6606     0.929814
1136.7304     0.932165
1136.8002     0.959785
1136.8700     0.972752
1136.9398     0.978893
1137.0096     0.993631
1137.0794     0.997215
1137.1492      1.00993
1137.2190      1.00566
1137.2888      1.01865
1137.3586      1.03863
1137.4284      1.00727
1137.4982     0.999820
1137.5680     0.989381
1137.6378     0.997958
1137.7076     0.969636
1137.7774     0.959961
1137.8472     0.925468
1137.9170     0.920826
1137.9868     0.914785
1138.0566     0.950702
1138.1264     0.970114
1138.1961     0.950856
1138.2659     0.971331
1138.3357     0.979922
1138.4055     0.976418
1138.4753     0.997851
1138.5451     0.957358
1138.6149     0.958859
1138.6847     0.951903
1138.7545     0.954550
1138.8243     0.964870
1138.8941     0.984151
1138.9639      1.00787
1139.0337      1.01066
1139.1035      1.03696
1139.1733      1.05073
1139.2431      1.05012
1139.3129      1.03157
1139.3827      1.05220
1139.4525      1.05690
1139.5223      1.04467
1139.5921      1.03032
1139.6619     0.998411
1139.7317     0.994911
1139.8015     0.975350
1139.8713     0.960043
1139.9411     0.979136
1140.0109     0.969044
1140.0807      1.00267
1140.1505     0.996962
